loan_id,customer_id,loan_type,loan_amount,interest_rate,loan_status
82,8464,Personal,4274082.43,8.26,Closed
83,957,Auto,1305297.85,12.18,Active
84,5618,Auto,2620988.96,15.29,Active
85,4963,Auto,1107161.06,13.64,Active
86,4052,Personal,3216442.45,11.9,Active
87,423,Home,4743673.9,11.91,Active
88,9018,Personal,2574335.69,12.57,Active
89,9051,Personal,4933513.55,16.24,Active
90,8575,Personal,1878508.84,15.78,Active
91,3639,Personal,1914736.29,16.98,Active
92,4327,Home,2842175.87,12.95,Active
93,1277,Personal,4031055.85,13.6,Active
94,8966,Education,995756.22,13.17,Active
95,3422,Personal,235722.6,16.59,Active
96,5981,Education,1723042.49,13.93,Active
97,7231,Home,172675.57,11.79,Active
98,4469,Auto,528793.27,10.4,Defaulted
99,2137,Personal,1157029.21,17.9,Closed
100,2848,Education,1447315.62,12.06,Active
101,4712,Personal,2557205.01,11.04,Active
102,4515,Auto,2464104.54,13.83,Closed
103,8404,Home,1672036.0,12.78,Active
104,2888,Personal,1962316.74,17.35,Active
105,4424,Personal,4507679.76,15.46,Defaulted
106,5553,Home,1586278.6,16.12,Closed
107,1850,Education,2055810.64,10.05,Active
108,7853,Education,4359537.72,17.58,Closed
109,8732,Education,3780262.53,16.54,Active
110,3798,Personal,4640722.58,16.57,Active
111,7975,Education,1082966.65,15.29,Active
112,7978,Home,3854938.41,7.17,Active
113,7901,Personal,2259672.68,14.5,Closed
114,6820,Home,3034982.25,17.42,Active
115,1222,Education,622119.74,14.16,Active
116,6812,Education,1864888.52,14.49,Active
117,1947,Home,2785747.3,16.76,Active
118,3379,Personal,2074110.55,10.54,Closed
119,6850,Auto,4645920.78,11.54,Active
120,2589,Education,3029445.24,12.07,Active
121,7009,Home,3621704.26,13.98,Active
122,2537,Education,538408.67,13.63,Active
123,5142,Auto,2641895.85,10.61,Closed
124,704,Personal,4548793.13,11.02,Closed
125,1878,Auto,2236097.96,16.96,Active
126,6850,Personal,2510923.83,8.86,Active
127,7048,Home,4960268.93,8.41,Active
128,7954,Auto,4775261.28,14.85,Active
129,5381,Education,956853.85,12.33,Active
130,9008,Personal,981709.35,16.91,Defaulted
131,4844,Education,1372484.15,7.64,Active
132,6775,Education,548558.42,11.87,Active
133,5600,Personal,761397.2,7.59,Active
134,7868,Personal,3956743.77,14.12,Active
135,9730,Personal,172187.85,11.99,Active
136,7048,Home,4475664.8,12.89,Active
137,8881,Home,1323814.14,17.99,Active
138,1294,Education,2456890.23,10.19,Active
139,5883,Home,4703814.19,16.5,Active
140,5760,Auto,3562298.75,8.05,Active
141,9052,Personal,3972174.62,11.98,Active
142,6507,Education,1751298.51,10.04,Active
143,6314,Home,431319.37,10.06,Active
144,5139,Education,2002083.23,14.23,Active
145,6170,Education,1522396.29,16.66,Active
146,4741,Education,3713012.99,13.26,Defaulted
147,8062,Education,1867314.19,15.41,Closed
148,3776,Personal,462773.61,13.27,Active
149,5769,Home,814677.8,15.25,Active
150,8961,Auto,3615330.83,8.78,Active
151,7924,Personal,2594949.36,9.32,Closed
152,9977,Auto,3359381.91,8.59,Active
153,4211,Personal,118466.55,11.62,Active
154,675,Education,4030446.07,14.29,Active
155,6816,Home,3668108.26,11.77,Active
156,5972,Auto,3216543.43,15.88,Active
157,1252,Personal,1529886.87,13.59,Active
158,4951,Home,4871760.86,9.47,Active
159,6936,Education,3325075.9,17.78,Closed
160,8391,Home,1714850.15,11.18,Active
161,6395,Personal,1825434.17,17.67,Active
162,7785,Auto,4607038.18,14.19,Active
163,3217,Auto,3695585.19,13.84,Defaulted
164,6572,Home,1982943.99,13.59,Active
165,1177,Home,348162.25,9.04,Defaulted
166,1987,Education,3032821.5,11.77,Active
167,3477,Auto,1954300.55,8.18,Active
168,5633,Home,502787.73,9.91,Closed
169,223,Personal,1227733.25,13.25,Closed
170,7829,Personal,2321667.59,10.68,Closed
171,7083,Education,3476161.73,14.4,Active
172,5429,Education,4404536.02,9.31,Active
173,3503,Personal,3906663.38,14.06,Active
174,1802,Personal,828849.08,15.37,Closed
175,3076,Home,1003076.54,9.74,Active
176,3850,Education,3056774.68,11.33,Active
177,5345,Home,1649100.96,13.89,Active
178,545,Education,2072548.58,11.06,Active
179,7747,Personal,3884601.43,9.47,Closed
180,4506,Personal,2557639.94,11.38,Active
181,2121,Personal,3344543.02,12.63,Defaulted
182,1694,Education,1631228.06,11.87,Active
183,6484,Home,3475657.65,15.94,Active
184,3306,Auto,3496682.01,12.62,Active
185,6150,Education,4067328.63,11.48,Active
186,5636,Personal,842169.16,9.05,Closed
187,8205,Auto,1509516.84,12.21,Active
188,8662,Home,2074242.43,16.6,Closed
189,2728,Education,849469.19,14.7,Active
190,6132,Education,1529825.59,13.42,Active
191,2681,Education,2800470.2,17.43,Closed
192,5728,Personal,1796375.14,12.08,Defaulted
193,289,Auto,2350606.49,13.75,Active
194,7549,Personal,908675.65,8.98,Active
195,6557,Home,1644903.02,11.73,Active
196,6752,Personal,3572333.0,9.91,Active
197,2083,Home,723501.7,16.69,Closed
198,2970,Home,2190552.39,9.13,Active
199,2718,Auto,3358459.71,11.18,Active
200,3369,Auto,3272216.51,11.44,Active
201,6,Personal,1530419.42,7.59,Active
202,9298,Personal,4626859.89,9.79,Closed
203,9386,Auto,398712.05,15.74,Active
204,882,Education,1658981.58,9.61,Active
205,4461,Education,4715027.85,17.32,Defaulted
206,4856,Home,1773110.94,17.43,Active
207,4738,Education,2294800.16,11.11,Active
208,1255,Education,1389076.03,11.68,Defaulted
209,5588,Home,1610457.37,15.93,Defaulted
210,4743,Home,2400918.21,7.91,Active
211,3876,Auto,217329.48,8.01,Active
212,1876,Personal,4913046.98,8.49,Active
213,7468,Auto,2077247.4,15.59,Active
214,3636,Education,883181.52,8.36,Active
215,8799,Personal,4018625.13,8.55,Active
216,3562,Education,533114.71,15.6,Active
217,451,Education,2591385.16,11.49,Closed
218,2247,Education,1732340.15,16.93,Active
219,897,Home,3879376.27,17.16,Active
220,1795,Education,4682264.13,16.11,Active
221,8366,Education,4419613.58,12.64,Active
222,1842,Personal,2603745.59,12.05,Active
223,1669,Auto,1655765.41,13.17,Active
224,5737,Education,3717360.12,14.98,Defaulted
225,7712,Personal,646354.46,12.79,Active
226,6534,Auto,2814413.15,14.96,Active
227,9715,Auto,4414584.48,11.51,Active
228,7523,Education,4258607.43,10.3,Active
229,5997,Auto,1038741.63,12.99,Active
230,1362,Home,4380790.21,17.66,Defaulted
231,1594,Home,2961646.0,10.62,Closed
232,2520,Education,1866128.93,13.57,Active
233,652,Home,2144400.09,13.23,Closed
234,9060,Personal,3533424.68,13.21,Active
235,474,Education,621630.55,10.87,Active
236,4834,Personal,1739764.83,12.3,Defaulted
237,1662,Personal,2830856.26,13.21,Active
238,7534,Education,2787904.09,9.79,Active
239,5589,Home,3495844.35,16.85,Active
240,6136,Auto,3954217.49,9.33,Active
241,2796,Home,2833017.63,11.71,Active
242,6060,Home,1232488.74,8.99,Active
243,2998,Auto,2017187.65,17.57,Active
244,2390,Home,3094690.93,12.25,Closed
245,154,Home,4561874.21,14.44,Active
246,2104,Auto,2607449.78,11.48,Closed
247,2523,Auto,3064506.72,9.42,Active
248,1800,Personal,205511.97,15.98,Active
249,7037,Auto,2271133.77,17.11,Active
250,4192,Home,1076815.5,8.94,Active
251,2078,Home,3050487.96,10.96,Closed
252,8866,Education,188699.93,12.38,Closed
253,8885,Home,1255339.98,10.02,Active
254,3183,Education,2335729.1,9.14,Active
255,9568,Education,2682776.17,12.37,Closed
256,4016,Personal,908582.72,13.49,Active
257,879,Education,2337817.25,15.58,Active
258,604,Education,2915970.88,7.62,Active
259,5376,Home,2398691.13,11.82,Active
260,2661,Education,2976186.68,17.5,Defaulted
261,8489,Personal,2649423.53,7.98,Active
262,2043,Education,1650605.05,8.88,Active
263,8758,Education,3625683.71,14.36,Defaulted
264,5784,Auto,1743312.03,16.9,Active
265,1716,Personal,4317705.59,16.49,Active
266,3705,Personal,3330991.76,11.57,Closed
267,8671,Home,1533090.0,14.0,Defaulted
268,3065,Home,2277088.88,12.92,Defaulted
269,7715,Personal,564508.41,13.84,Active
270,8792,Personal,1750900.04,15.24,Active
271,8985,Home,163805.87,12.58,Active
272,8171,Home,3134848.61,16.15,Active
273,8942,Home,4939394.63,16.01,Closed
274,1063,Auto,385135.12,9.21,Active
275,7282,Personal,4103306.68,16.72,Active
276,9373,Personal,3982673.98,9.31,Closed
277,6956,Personal,3219318.15,10.72,Active
278,6473,Education,2920812.21,10.85,Active
279,971,Personal,4631537.16,11.06,Active
280,5019,Home,2250886.84,15.76,Active
281,3274,Home,4446193.81,11.92,Active
282,3821,Personal,3908907.23,16.06,Active
283,1237,Home,2906420.62,9.85,Active
284,7629,Auto,1057841.81,11.12,Active
285,1283,Personal,387858.47,8.87,Active
286,976,Education,917466.73,13.04,Closed
287,905,Education,1031973.58,8.8,Closed
288,7401,Auto,2695247.07,16.99,Active
289,104,Auto,1184824.88,7.7,Active
290,6233,Home,1431555.26,14.85,Defaulted
291,6513,Personal,1858675.76,10.86,Closed
292,177,Personal,3524213.72,7.15,Active
293,1902,Home,2441222.62,7.84,Closed
294,5966,Education,4144204.67,8.78,Defaulted
295,7692,Auto,2895709.22,15.23,Closed
296,3079,Education,4090639.08,11.29,Active
297,6326,Auto,2699314.79,8.52,Active
298,3126,Home,896807.14,12.54,Active
299,8663,Education,4412511.68,11.09,Closed
300,4781,Education,1626984.5,16.24,Active
301,363,Auto,252639.03,15.55,Active
302,7958,Personal,4130379.58,13.03,Active
303,1712,Personal,4551150.08,15.63,Active
304,3605,Home,3385852.26,12.24,Active
305,3710,Auto,3063552.65,12.22,Active
306,6441,Home,3313485.54,14.84,Active
307,2753,Home,2637003.76,16.88,Closed
308,3792,Personal,1035347.66,9.74,Active
309,5109,Home,2413196.21,10.72,Closed
310,2679,Personal,737539.36,8.8,Active
311,7741,Auto,3378835.59,7.7,Active
312,6645,Education,4609627.83,13.31,Active
313,3989,Personal,749345.97,9.2,Closed
314,2299,Auto,1932315.28,7.06,Defaulted
315,7840,Education,1795426.05,9.86,Active
316,560,Auto,4499854.34,10.82,Active
317,8632,Auto,983970.78,13.01,Active
318,2173,Auto,869269.6,7.49,Active
319,2867,Auto,634958.78,9.8,Active
320,1091,Home,4036436.65,16.66,Defaulted
321,6126,Auto,2164423.2,16.35,Active
322,2355,Auto,2428919.98,8.05,Closed
323,6338,Home,2406687.23,12.3,Active
324,1837,Auto,3321234.4,11.13,Active
325,6687,Home,1457993.39,9.99,Active
326,5671,Home,2482292.99,17.43,Active
327,9032,Education,526472.98,7.1,Active
328,2909,Home,4549191.16,11.86,Defaulted
329,5861,Auto,1751652.27,7.11,Defaulted
330,2878,Auto,3796325.95,13.91,Closed
331,7860,Personal,3525103.09,7.41,Closed
332,2995,Auto,3863127.31,12.65,Active
333,8214,Education,1959534.76,10.1,Defaulted
334,1654,Auto,3065410.93,9.75,Active
335,4471,Personal,1016853.67,16.87,Closed
336,9923,Personal,3121213.06,17.48,Active
337,8520,Auto,3012711.96,14.21,Defaulted
338,6931,Home,3090318.11,13.69,Closed
339,3905,Education,662680.68,8.14,Active
340,8166,Personal,4266535.71,10.59,Active
341,5833,Home,2555175.12,14.56,Active
342,3096,Home,163836.19,9.67,Active
343,2944,Auto,1596765.09,7.14,Active
344,6269,Home,4259387.5,8.9,Active
345,8180,Auto,4437580.19,10.44,Active
346,2291,Personal,1432326.47,15.89,Active
347,7054,Auto,1894556.92,11.51,Active
348,9823,Education,356896.62,14.65,Active
349,8786,Home,4462820.98,9.1,Active
350,4354,Education,3416205.64,12.85,Active
351,7988,Home,212848.7,17.19,Active
352,8233,Auto,1763964.38,8.14,Active
353,8263,Education,235511.44,11.6,Defaulted
354,6618,Auto,1958500.71,8.16,Active
355,1069,Personal,3302973.82,12.08,Active
356,5746,Home,3271568.49,13.16,Active
357,5749,Education,3282460.06,9.95,Active
358,8874,Home,3788617.47,8.18,Active
359,1854,Auto,2558687.7,7.81,Active
360,974,Personal,96390.39,14.93,Active
361,2526,Auto,1538358.5,15.91,Active
362,3463,Auto,4868407.36,15.05,Active
363,695,Auto,1741543.04,13.76,Defaulted
364,4304,Home,900565.47,14.67,Active
365,3219,Personal,3750895.17,15.8,Active
366,7213,Education,2190461.34,15.57,Closed
367,1493,Home,728336.76,8.21,Active
368,9676,Education,3599801.36,11.25,Active
369,3066,Personal,4098873.28,15.89,Active
370,578,Auto,1512982.88,10.64,Closed
371,8799,Home,1248937.5,17.52,Active
372,6168,Education,3883680.94,13.18,Active
373,3783,Home,810668.72,9.67,Defaulted
374,3389,Education,4180559.64,10.4,Closed
375,5776,Personal,4644874.95,8.86,Active
376,178,Personal,1657156.47,16.91,Active
377,9733,Auto,1862095.35,8.73,Active
378,4605,Personal,875938.95,8.66,Closed
379,4328,Personal,572727.92,10.97,Active
380,1696,Personal,2884589.54,13.06,Active
381,7891,Personal,4722770.34,14.44,Closed
382,5470,Home,4367577.44,17.02,Active
383,4324,Auto,3186086.32,9.29,Closed
384,3953,Education,3842008.14,8.69,Defaulted
385,6703,Home,3878756.92,10.71,Active
386,3584,Auto,2851110.55,7.31,Active
387,838,Auto,4544252.87,9.41,Defaulted
388,198,Personal,1708337.46,11.38,Active
389,5907,Home,3027154.47,10.35,Active
390,5907,Personal,4794735.56,12.48,Active
391,9617,Home,245835.96,7.92,Closed
392,6622,Home,1496456.24,13.83,Active
393,3473,Personal,3076120.7,8.64,Active
394,6459,Home,741384.57,10.5,Active
395,2661,Home,4558425.55,12.81,Active
396,9323,Home,761694.35,8.5,Active
397,4680,Home,4967644.46,17.68,Active
398,4613,Education,4491322.12,7.04,Active
399,9580,Auto,2133694.45,15.62,Active
400,1060,Education,2674971.34,9.41,Closed
401,1637,Home,4114270.08,17.83,Closed
402,9561,Auto,1669665.28,7.64,Closed
403,3810,Education,4573103.4,9.06,Active
404,5450,Auto,3618426.34,14.83,Active
405,2654,Personal,4270026.23,12.15,Closed
406,6519,Auto,3311562.67,16.02,Active
407,8912,Home,2660161.04,8.37,Closed
408,3876,Auto,2116178.19,7.69,Defaulted
409,7790,Auto,2644187.0,10.71,Active
410,6438,Home,681777.47,15.26,Defaulted
411,3112,Auto,3317632.27,17.42,Active
412,9154,Auto,1899621.89,13.96,Active
413,7015,Personal,716886.77,12.44,Active
414,4910,Auto,156851.46,13.75,Closed
415,2823,Personal,225325.16,9.57,Active
416,8854,Home,3023668.59,11.75,Active
417,4110,Home,4672467.29,15.15,Active
418,495,Auto,3758296.1,16.82,Active
419,6114,Education,792159.16,8.06,Defaulted
420,7464,Auto,3799188.93,16.27,Closed
421,1323,Education,4054645.62,10.94,Active
422,3425,Education,4864769.04,13.74,Active
423,9941,Education,3024430.0,7.05,Active
424,442,Education,3305486.79,8.73,Active
425,2964,Home,3534481.67,16.85,Closed
426,2329,Personal,2183443.75,10.38,Active
427,6348,Auto,2207683.28,17.41,Active
428,1819,Auto,3843870.55,16.98,Active
429,2564,Personal,4984908.33,9.87,Active
430,3599,Education,2021065.49,10.34,Active
431,5372,Auto,3728129.25,11.66,Defaulted
432,6000,Auto,2642917.06,16.97,Active
433,2021,Personal,593926.35,7.2,Active
434,8728,Home,335201.16,14.68,Active
435,9268,Home,4751062.83,17.69,Closed
436,418,Personal,3734682.0,10.46,Active
437,7575,Education,2879545.34,11.25,Active
438,1500,Home,1803897.7,8.16,Closed
439,8239,Personal,956225.2,14.55,Active
440,5793,Auto,539411.43,12.68,Active
441,3651,Personal,3883272.22,10.82,Active
442,9885,Home,3334057.79,15.53,Closed
443,8502,Personal,4813664.97,12.29,Active
444,4337,Home,3113904.71,16.17,Active
445,7744,Personal,1638686.41,13.99,Closed
446,7645,Home,1335579.78,17.61,Active
447,2536,Personal,1381445.16,11.12,Active
448,3890,Personal,862599.3,12.99,Active
449,4060,Education,1669269.4,7.94,Active
450,6122,Auto,4931506.35,7.08,Active
451,5583,Education,2341425.46,13.55,Active
452,2427,Personal,4766387.59,8.58,Active
453,9808,Home,3623498.9,8.87,Active
454,1225,Education,3000025.92,10.51,Active
455,2177,Education,2745688.1,15.72,Active
456,4665,Auto,1851383.76,10.47,Active
457,3736,Home,3985041.92,15.88,Closed
458,3534,Education,1548292.45,8.02,Active
459,1869,Education,4817048.17,17.69,Active
460,4058,Home,4119550.78,14.59,Active
461,6952,Personal,3702892.38,12.23,Active
462,2845,Auto,2246866.2,15.57,Defaulted
463,3017,Home,3211832.08,8.29,Active
464,2886,Education,3186966.18,16.41,Active
465,8091,Personal,4331420.28,16.45,Active
466,6660,Auto,1570611.52,7.14,Closed
467,3224,Auto,2928572.63,12.7,Active
468,4352,Education,3482547.62,10.98,Defaulted
469,7319,Education,4436941.02,12.72,Active
470,3106,Home,2027296.58,7.57,Active
471,5084,Personal,4471865.97,10.16,Defaulted
472,866,Education,3077361.81,15.75,Active
473,4982,Home,2055353.69,14.66,Active
474,2497,Home,1561571.44,10.04,Closed
475,2794,Personal,744092.89,10.31,Active
476,3417,Education,4721046.49,12.99,Active
477,2397,Education,2537657.16,9.78,Closed
478,9718,Auto,3806738.26,17.69,Active
479,2057,Personal,2764127.63,12.07,Active
480,6383,Education,1110926.72,16.79,Defaulted
481,8102,Personal,4605250.61,12.51,Active
482,9790,Auto,2936245.92,12.0,Closed
483,1319,Home,3969843.07,8.73,Active
484,9611,Education,467230.79,9.57,Active
485,8332,Auto,872501.55,16.89,Active
486,2480,Personal,4072912.83,14.92,Closed
487,9681,Auto,4430540.95,7.87,Active
488,4569,Education,4559179.3,17.2,Active
489,3372,Education,3418582.18,12.61,Closed
490,1711,Home,3810053.55,12.79,Active
491,859,Education,832749.52,9.9,Active
492,8627,Home,3680979.75,7.15,Active
493,5850,Home,2482955.54,11.82,Active
494,8284,Auto,2488573.29,15.73,Active
495,4834,Personal,2554393.57,13.04,Active
496,4344,Home,3300363.88,10.62,Closed
497,4412,Auto,1831362.76,7.09,Active
498,3564,Auto,3295585.77,12.56,Closed
499,7540,Home,229620.61,10.99,Active
500,4288,Home,4528464.45,16.8,Active
501,9493,Personal,2338927.89,11.96,Closed
502,4069,Auto,3251847.6,8.23,Active
503,8378,Education,1836710.8,7.63,Active
504,273,Personal,3801210.87,7.07,Active
505,268,Personal,4318791.83,8.74,Active
506,5301,Auto,2184132.41,11.07,Active
507,3901,Personal,4159160.59,17.67,Active
508,496,Home,3458066.12,9.04,Closed
509,7530,Auto,3481697.78,13.42,Active
510,6067,Education,2722216.61,15.84,Active
511,2666,Education,2709134.79,11.77,Defaulted
512,4910,Auto,2802497.83,8.33,Active
513,6547,Education,1778128.54,17.09,Active
514,8720,Home,165782.97,8.69,Active
515,8214,Home,586931.11,13.42,Active
516,5588,Home,3296013.5,8.59,Active
517,8693,Education,60310.25,11.71,Active
518,4970,Personal,3105034.47,10.95,Active
519,916,Personal,2976565.41,7.46,Active
520,8224,Education,3665291.39,9.33,Active
521,2839,Personal,2972774.48,8.28,Closed
522,4263,Education,4684532.73,13.59,Active
523,162,Auto,1290448.52,7.57,Active
524,7486,Auto,3039313.48,13.75,Closed
525,9672,Education,3610038.31,9.87,Closed
526,8875,Education,3232838.18,16.76,Active
527,871,Personal,1915768.72,12.89,Active
528,8379,Home,1472058.11,14.02,Active
529,7246,Home,649832.22,11.94,Defaulted
530,5941,Auto,3948147.96,10.51,Active
531,7413,Home,1904184.71,14.59,Active
532,4444,Personal,1976515.98,7.35,Active
533,8591,Auto,2327763.31,15.0,Active
534,6522,Personal,3181256.96,12.8,Active
535,2365,Personal,647370.3,7.99,Active
536,9937,Home,1083013.46,8.91,Active
537,3944,Home,2687358.68,7.53,Active
538,5507,Education,3756250.52,9.49,Active
539,4050,Education,3969732.51,17.13,Closed
540,9889,Auto,2147091.0,16.68,Active
541,7931,Personal,4976474.56,16.02,Active
542,7493,Home,4129995.54,15.18,Active
543,4128,Auto,588108.37,17.52,Active
544,6443,Personal,3044259.01,11.63,Active
545,667,Education,1627983.33,14.15,Closed
546,3120,Education,4073823.98,13.86,Active
547,8864,Home,3010537.67,17.39,Active
548,6904,Home,3524621.02,11.94,Active
549,286,Home,4625809.23,11.38,Active
550,4281,Home,1301172.06,15.42,Active
551,3049,Auto,2582811.49,16.68,Active
552,2823,Auto,1343168.72,13.1,Active
553,5064,Education,1496277.27,8.29,Active
554,155,Personal,4945107.18,12.33,Active
555,1482,Education,2641196.85,12.42,Active
556,4772,Auto,4256525.35,10.23,Active
557,7583,Home,3208956.75,8.39,Defaulted
558,8593,Education,676330.73,7.13,Active
559,5746,Personal,933233.14,16.91,Active
560,2266,Education,851330.68,12.26,Closed
561,2241,Auto,2956610.65,14.89,Closed
562,5843,Auto,3988878.44,17.52,Closed
563,3236,Personal,1712586.81,7.38,Active
564,135,Personal,4156026.6,10.36,Active
565,4536,Home,2534952.25,11.53,Active
566,2025,Auto,3951241.44,12.27,Closed
567,6691,Auto,964249.15,16.64,Closed
568,1776,Personal,1390567.28,13.67,Active
569,9148,Education,4635641.43,12.28,Active
570,3191,Auto,2810813.22,12.22,Active
571,8316,Education,1547846.1,16.16,Defaulted
572,3832,Auto,2632137.72,7.8,Active
573,4695,Home,3722417.47,13.43,Active
574,9210,Home,3405952.47,10.08,Active
575,1392,Home,3425099.4,12.54,Active
576,3774,Auto,1890772.23,13.03,Active
577,3490,Auto,797912.99,15.24,Closed
578,2831,Personal,3898054.78,7.86,Active
579,2778,Home,423776.9,8.67,Closed
580,7732,Home,934713.03,15.87,Active
581,9467,Education,3482738.57,11.04,Active
582,5115,Personal,1435153.35,12.19,Active
583,7076,Home,3246823.49,16.75,Closed
584,5511,Home,1423135.1,8.0,Closed
585,1595,Personal,2144247.93,16.04,Defaulted
586,3506,Personal,4311546.0,10.85,Active
587,9056,Education,3337941.1,13.24,Closed
588,7910,Education,1175944.41,11.2,Active
589,2221,Personal,810828.29,17.81,Closed
590,4770,Auto,4754550.31,12.33,Active
591,9682,Education,524527.29,9.49,Active
592,9529,Auto,1011841.31,7.87,Closed
593,9326,Education,1798819.52,9.37,Active
594,6132,Home,3989768.57,7.11,Active
595,6327,Personal,3880333.21,7.99,Active
596,205,Personal,4268709.02,9.96,Active
597,9339,Auto,1514356.55,7.91,Defaulted
598,254,Education,1385916.74,11.79,Defaulted
599,9652,Home,4471640.83,16.33,Active
600,9168,Auto,2252702.35,8.06,Active
601,6663,Personal,543071.84,11.01,Active
602,5205,Home,4198405.97,9.16,Active
603,6387,Auto,4957499.38,10.98,Closed
604,6550,Home,4864976.56,17.32,Active
605,5416,Auto,1753524.37,10.66,Active
606,7426,Auto,2634945.26,14.94,Active
607,9496,Auto,4957917.48,10.91,Active
608,7183,Education,4569252.0,7.07,Active
609,5457,Auto,4197856.5,14.3,Active
610,6380,Auto,3092645.96,13.37,Active
611,1098,Education,169855.29,11.22,Active
612,2501,Education,4592560.98,10.86,Active
613,4839,Auto,583334.64,10.26,Active
614,1636,Personal,2686563.39,8.31,Closed
615,1178,Education,1535998.12,17.04,Active
616,8250,Home,4484000.41,7.13,Active
617,3624,Auto,456413.54,13.95,Closed
618,2691,Personal,851417.8,17.34,Closed
619,3987,Personal,4267912.22,9.64,Active
620,7240,Auto,2281075.53,15.04,Closed
621,3719,Personal,1016037.64,12.98,Active
622,6226,Education,4581303.24,9.5,Active
623,4990,Education,4050488.88,10.45,Active
624,7620,Auto,3544403.02,11.62,Closed
625,6609,Education,4892193.39,15.88,Active
626,2677,Education,206248.76,14.62,Active
627,3707,Auto,3810614.9,13.88,Active
628,6760,Education,472218.85,15.96,Active
629,5894,Auto,1317541.54,10.04,Active
630,3847,Personal,1021335.62,8.88,Active
631,5298,Education,1845231.95,17.01,Active
632,8081,Auto,3833764.6,13.74,Active
633,9371,Home,581165.31,10.72,Active
634,7132,Home,4959309.67,9.39,Active
635,6355,Home,1962788.71,17.07,Active
636,1349,Home,699306.24,11.32,Defaulted
637,9171,Personal,3402682.2,8.56,Closed
638,3780,Education,1769891.98,8.41,Active
639,1158,Education,2320181.5,16.06,Active
640,6569,Auto,4573219.33,9.84,Active
641,9906,Home,4233126.37,15.01,Closed
