ticket_id,customer_id,issue_type,created_at,resolved_at,satisfaction_score
46,8265,Loan Query,2025-12-24 15:53:05.513661,2025-12-27 15:53:05.513661,5
47,9610,Card Issue,2024-09-07 11:00:49.967850,2024-09-15 11:00:49.967850,4
48,4416,UPI Failure,2025-02-23 14:49:56.562908,2025-02-27 14:49:56.562908,3
49,6084,Card Issue,2026-03-09 21:24:34.703007,2026-03-20 21:24:34.703007,1
50,8911,Loan Query,2026-06-01 23:39:35.512759,2026-06-03 23:39:35.512759,4
51,4048,Fraud Complaint,2024-06-19 19:43:52.343882,2024-06-25 19:43:52.343882,4
52,3446,Fraud Complaint,2026-01-16 23:18:46.833324,2026-01-29 23:18:46.833324,4
53,2147,Fraud Complaint,2024-12-09 03:19:42.298308,2024-12-12 03:19:42.298308,2
54,6616,Account Access,2026-04-04 17:33:27.971323,2026-04-14 17:33:27.971323,1
55,4897,Card Issue,2024-11-17 15:03:27.775556,2024-11-19 15:03:27.775556,1
56,4068,UPI Failure,2025-01-05 01:00:30.346462,2025-01-17 01:00:30.346462,2
57,3675,Account Access,2025-12-25 20:59:46.523176,2025-12-28 20:59:46.523176,4
58,6305,Account Access,2025-08-25 22:11:23.884287,2025-09-02 22:11:23.884287,2
59,1400,Account Access,2025-02-28 19:24:13.172886,2025-03-13 19:24:13.172886,3
60,3127,UPI Failure,2026-06-08 14:24:03.720486,2026-06-21 14:24:03.720486,3
61,2010,Fraud Complaint,2026-01-22 18:34:03.489328,2026-02-05 18:34:03.489328,
62,6410,UPI Failure,2025-05-01 05:14:05.300830,2025-05-03 05:14:05.300830,4
63,8465,Fraud Complaint,2024-07-15 03:36:44.576589,2024-07-29 03:36:44.576589,1
64,5925,Account Access,2024-10-21 05:06:19.190741,2024-11-02 05:06:19.190741,2
65,4189,Loan Query,2026-04-10 10:44:18.702888,2026-04-14 10:44:18.702888,5
66,9326,Loan Query,2025-09-05 07:13:35.975327,2025-09-10 07:13:35.975327,
67,2184,Fraud Complaint,2026-05-22 12:11:55.428139,2026-06-05 12:11:55.428139,5
68,6399,Loan Query,2024-11-11 02:11:35.884669,2024-11-17 02:11:35.884669,1
69,2656,Fraud Complaint,2024-08-15 17:54:10.223417,2024-08-15 17:54:10.223417,5
70,8886,Account Access,2025-11-07 17:25:18.485923,2025-11-11 17:25:18.485923,
71,7503,Fraud Complaint,2025-10-28 21:05:13.529724,2025-11-03 21:05:13.529724,
72,8220,Account Access,2025-02-19 17:22:05.113859,2025-02-20 17:22:05.113859,5
73,4108,Loan Query,2024-08-09 01:30:59.219243,2024-08-18 01:30:59.219243,5
74,1519,Fraud Complaint,2026-02-28 13:22:10.509127,2026-03-06 13:22:10.509127,5
75,9794,UPI Failure,2025-02-28 23:14:58.942842,2025-03-06 23:14:58.942842,4
76,797,UPI Failure,2025-05-15 15:21:38.005465,2025-05-28 15:21:38.005465,3
77,9259,Card Issue,2024-10-17 04:36:37.991340,2024-10-22 04:36:37.991340,3
78,8090,Account Access,2024-11-01 22:59:37.433454,2024-11-04 22:59:37.433454,1
79,1927,Account Access,2025-04-16 06:59:43.225608,2025-04-24 06:59:43.225608,3
80,9997,UPI Failure,2024-07-25 17:28:41.628452,2024-08-07 17:28:41.628452,2
81,2161,Card Issue,2026-02-14 14:52:05.150717,2026-02-23 14:52:05.150717,3
82,4030,Account Access,2025-03-08 08:03:29.391651,2025-03-12 08:03:29.391651,1
83,1677,UPI Failure,2025-07-31 13:08:14.680938,2025-08-01 13:08:14.680938,3
84,6361,Account Access,2025-03-23 01:42:19.002672,2025-04-01 01:42:19.002672,3
85,743,Loan Query,2025-05-23 00:45:55.358863,2025-05-25 00:45:55.358863,2
86,3839,Fraud Complaint,2025-09-22 18:16:35.825042,2025-10-06 18:16:35.825042,3
87,3916,Loan Query,2025-08-02 02:29:07.495761,2025-08-03 02:29:07.495761,2
88,1595,UPI Failure,2026-05-29 23:38:21.264241,2026-06-05 23:38:21.264241,3
89,2333,Card Issue,2025-10-01 03:50:42.711984,2025-10-08 03:50:42.711984,2
90,9392,Card Issue,2025-06-29 16:22:19.281847,2025-07-06 16:22:19.281847,2
91,1413,Account Access,2026-05-21 12:15:37.435859,2026-05-29 12:15:37.435859,4
92,6123,UPI Failure,2024-08-24 10:37:13.612883,2024-08-31 10:37:13.612883,2
93,4410,Fraud Complaint,2026-02-12 05:31:32.054607,2026-02-23 05:31:32.054607,3
94,8974,Loan Query,2025-01-02 00:14:11.486195,2024-12-30 00:14:11.486195,2
95,6166,UPI Failure,2024-08-03 04:38:19.681284,2024-08-09 04:38:19.681284,1
96,8437,Account Access,2025-05-11 12:47:55.642723,2025-05-15 12:47:55.642723,4
97,4015,UPI Failure,2024-12-16 19:20:22.561526,2024-12-22 19:20:22.561526,1
98,1372,UPI Failure,2025-08-29 05:37:39.733483,2025-09-05 05:37:39.733483,5
99,7927,Card Issue,2026-03-22 08:03:21.753212,2026-03-28 08:03:21.753212,1
100,6933,Fraud Complaint,2026-05-27 06:06:52.842670,2026-05-28 06:06:52.842670,3
101,4190,Account Access,2024-07-26 08:32:44.377363,2024-08-05 08:32:44.377363,2
102,7139,UPI Failure,2024-12-03 17:30:36.771689,2024-12-09 17:30:36.771689,3
103,8657,Account Access,2026-01-26 18:25:46.341893,2026-01-27 18:25:46.341893,
104,6591,Loan Query,2025-05-11 02:36:59.270435,2025-05-12 02:36:59.270435,5
105,6575,Account Access,2025-02-06 15:05:06.820466,2025-02-13 15:05:06.820466,4
106,7430,Account Access,2025-12-10 18:20:23.390831,2025-12-21 18:20:23.390831,5
107,5957,Fraud Complaint,2024-11-11 18:02:24.911197,2024-11-15 18:02:24.911197,
108,3896,Card Issue,2025-03-27 20:55:14.861176,2025-04-09 20:55:14.861176,1
109,1199,UPI Failure,2025-04-28 04:57:37.102085,2025-05-01 04:57:37.102085,1
110,8642,Account Access,2025-07-18 09:36:30.884300,2025-07-30 09:36:30.884300,3
111,1023,Loan Query,2025-08-23 23:42:53.475156,2025-08-26 23:42:53.475156,1
112,2350,UPI Failure,2024-10-10 01:37:07.740699,2024-10-20 01:37:07.740699,3
113,3686,UPI Failure,2025-11-02 03:24:24.883379,2025-11-14 03:24:24.883379,3
114,6845,Fraud Complaint,2024-07-02 02:54:09.633238,2024-07-12 02:54:09.633238,
115,3437,Card Issue,2025-05-31 01:15:41.165033,2025-05-31 01:15:41.165033,4
116,6226,Fraud Complaint,2025-03-18 08:00:08.703200,2025-03-30 08:00:08.703200,5
117,8505,Fraud Complaint,2024-09-29 10:54:48.282895,2024-10-06 10:54:48.282895,3
118,8914,Card Issue,2025-07-30 04:51:52.620585,2025-08-06 04:51:52.620585,1
119,7874,Card Issue,2025-11-15 21:46:57.082927,2025-11-29 21:46:57.082927,4
120,9311,Account Access,2024-10-11 21:37:26.362590,2024-10-24 21:37:26.362590,3
121,5324,Loan Query,2024-10-29 16:55:32.940789,2024-11-11 16:55:32.940789,4
122,5747,Fraud Complaint,2024-08-09 21:38:12.905607,2024-08-15 21:38:12.905607,1
123,7740,Account Access,2025-02-05 20:51:44.047182,2025-02-09 20:51:44.047182,1
124,9770,Account Access,2025-11-03 11:02:51.680464,2025-11-13 11:02:51.680464,5
125,875,Account Access,2026-05-14 23:02:56.254528,2026-05-26 23:02:56.254528,
126,9994,UPI Failure,2025-02-17 04:15:00.404087,2025-02-24 04:15:00.404087,4
127,7087,UPI Failure,2025-07-01 14:34:56.750536,2025-07-15 14:34:56.750536,3
128,1268,Fraud Complaint,2025-11-17 22:44:39.194504,2025-12-01 22:44:39.194504,1
129,7633,Loan Query,2026-05-14 16:43:16.289892,2026-05-15 16:43:16.289892,4
130,7231,Loan Query,2025-05-05 04:01:46.041284,2025-05-05 04:01:46.041284,4
131,6586,Loan Query,2026-03-13 09:00:28.167837,2026-03-27 09:00:28.167837,5
132,3547,Fraud Complaint,2025-10-09 13:20:56.839129,2025-10-14 13:20:56.839129,
133,2344,Account Access,2024-11-14 23:45:39.937312,2024-11-25 23:45:39.937312,1
134,6426,Fraud Complaint,2024-10-23 19:03:17.039467,2024-10-25 19:03:17.039467,2
135,9882,Account Access,2025-03-25 16:49:17.935819,2025-04-07 16:49:17.935819,1
136,5541,UPI Failure,2025-02-03 21:29:48.716922,2025-02-08 21:29:48.716922,2
137,8624,Loan Query,2026-04-28 14:04:37.388347,2026-05-07 14:04:37.388347,4
138,1817,Fraud Complaint,2025-04-19 09:10:36.203817,2025-05-01 09:10:36.203817,
139,314,UPI Failure,2025-02-14 01:53:42.251527,2025-02-22 01:53:42.251527,4
140,726,Fraud Complaint,2025-06-28 02:13:43.678453,2025-07-06 02:13:43.678453,1
141,7362,UPI Failure,2024-10-07 06:54:23.485983,2024-10-10 06:54:23.485983,5
142,6000,Loan Query,2024-08-13 12:03:37.605814,2024-08-22 12:03:37.605814,2
143,3386,Account Access,2025-10-03 04:39:15.889437,2025-10-07 04:39:15.889437,4
144,3267,Card Issue,2025-03-20 13:39:29.050402,2025-03-29 13:39:29.050402,5
145,4270,Account Access,2025-11-10 04:02:02.804060,2025-11-11 04:02:02.804060,5
146,8258,Loan Query,2025-06-22 21:12:47.487326,2025-06-26 21:12:47.487326,3
147,5474,Card Issue,2025-07-17 01:24:47.595839,2025-07-17 01:24:47.595839,5
148,1527,Account Access,2025-06-24 05:08:55.554792,2025-07-05 05:08:55.554792,3
149,7405,Fraud Complaint,2026-05-22 00:14:58.534508,2026-06-04 00:14:58.534508,3
150,6419,UPI Failure,2025-05-02 17:01:23.129654,2025-05-10 17:01:23.129654,4
151,654,Account Access,2026-02-20 20:10:42.745974,2026-03-06 20:10:42.745974,3
152,3932,Card Issue,2026-05-12 22:58:32.267534,2026-05-20 22:58:32.267534,2
153,2927,Fraud Complaint,2025-11-29 14:52:13.134148,2025-12-12 14:52:13.134148,5
154,7587,Loan Query,2024-07-08 16:08:30.768335,2024-07-10 16:08:30.768335,2
155,3909,Fraud Complaint,2025-04-30 15:26:07.163038,2025-05-09 15:26:07.163038,1
156,4462,Account Access,2025-11-17 20:59:34.913738,2025-11-30 20:59:34.913738,4
157,9035,Fraud Complaint,2025-05-28 12:23:58.808932,2025-05-28 12:23:58.808932,4
158,9526,Loan Query,2025-12-10 05:01:23.775775,2025-12-14 05:01:23.775775,5
159,1733,Loan Query,2025-12-14 12:08:23.991229,2025-12-14 12:08:23.991229,2
160,4894,Account Access,2025-02-13 07:29:37.964942,2025-02-17 07:29:37.964942,1
161,9607,Account Access,2025-01-16 13:25:20.821201,2025-01-17 13:25:20.821201,2
162,8194,Account Access,2025-09-08 22:28:46.932652,2025-09-09 22:28:46.932652,2
163,3935,Account Access,2025-05-28 11:01:34.112168,2025-06-02 11:01:34.112168,4
164,1183,Account Access,2026-06-15 00:10:16.914894,2026-06-25 00:10:16.914894,4
165,7576,Fraud Complaint,2025-07-02 16:50:40.539081,2025-07-02 16:50:40.539081,
166,2627,Account Access,2025-04-09 23:25:11.145494,2025-04-10 23:25:11.145494,1
167,5895,Fraud Complaint,2026-05-27 09:22:35.888254,2026-06-09 09:22:35.888254,
168,7296,UPI Failure,2024-09-03 22:49:58.682457,2024-09-09 22:49:58.682457,
169,3814,Card Issue,2024-09-06 14:07:14.759284,2024-09-09 14:07:14.759284,4
170,1554,Loan Query,2024-12-28 20:14:14.402258,2025-01-08 20:14:14.402258,4
171,1984,Loan Query,2024-11-14 07:41:43.139406,2024-11-23 07:41:43.139406,1
172,8116,UPI Failure,2025-05-28 22:08:40.646438,2025-06-07 22:08:40.646438,
173,5851,UPI Failure,2026-03-22 00:53:15.412136,2026-04-01 00:53:15.412136,
174,7353,Fraud Complaint,2025-08-30 21:42:42.541774,2025-08-30 21:42:42.541774,4
175,9565,Loan Query,2026-03-20 10:27:41.144632,2026-04-02 10:27:41.144632,2
176,400,Account Access,2025-12-16 04:40:31.264775,2025-12-20 04:40:31.264775,5
177,6813,Card Issue,2026-06-18 09:02:12.626211,2026-06-21 09:02:12.626211,5
178,7221,Loan Query,2024-11-11 23:24:04.265081,2024-11-15 23:24:04.265081,1
179,8712,Card Issue,2026-01-24 10:57:44.857489,2026-02-01 10:57:44.857489,2
180,9305,UPI Failure,2024-11-15 06:36:47.483124,2024-11-16 06:36:47.483124,
181,7989,UPI Failure,2025-11-18 11:45:39.112816,2025-11-27 11:45:39.112816,4
182,3677,UPI Failure,2025-09-04 15:46:46.225377,2025-09-13 15:46:46.225377,
183,6168,UPI Failure,2025-08-08 04:35:52.449153,2025-08-10 04:35:52.449153,4
184,6693,Fraud Complaint,2025-02-04 19:56:53.026132,2025-02-10 19:56:53.026132,1
185,951,Fraud Complaint,2025-01-05 21:10:07.709536,2025-01-12 21:10:07.709536,5
186,6368,Loan Query,2025-06-14 00:58:18.123959,2025-06-17 00:58:18.123959,2
187,1155,Account Access,2025-09-19 23:25:11.945602,2025-10-01 23:25:11.945602,1
188,8154,Card Issue,2026-05-01 18:53:02.819656,2026-05-09 18:53:02.819656,4
189,8502,Fraud Complaint,2025-07-30 00:15:42.492635,2025-08-10 00:15:42.492635,5
190,6053,Loan Query,2024-11-07 13:44:14.643221,2024-11-11 13:44:14.643221,
191,5426,Account Access,2025-06-30 04:05:24.393211,2025-06-30 04:05:24.393211,
192,4878,Loan Query,2024-09-08 18:51:48.550565,2024-09-17 18:51:48.550565,4
193,8438,UPI Failure,2025-08-01 16:46:14.889954,2025-08-03 16:46:14.889954,1
194,6601,Account Access,2024-10-28 16:30:22.948192,2024-11-07 16:30:22.948192,5
195,3452,Card Issue,2025-10-22 14:12:32.116982,2025-10-29 14:12:32.116982,2
196,5456,Loan Query,2025-01-08 01:47:13.704912,2025-01-14 01:47:13.704912,3
197,4019,UPI Failure,2025-06-30 22:20:41.010550,2025-07-08 22:20:41.010550,
198,133,UPI Failure,2026-03-21 21:49:49.533050,2026-03-24 21:49:49.533050,
199,5558,Fraud Complaint,2025-05-26 23:04:53.450141,2025-05-26 23:04:53.450141,5
200,8905,UPI Failure,2025-07-22 14:13:05.907683,2025-07-24 14:13:05.907683,1
201,5257,UPI Failure,2025-10-15 22:12:14.732967,2025-10-25 22:12:14.732967,3
202,5669,Fraud Complaint,2024-12-04 07:36:35.876066,2024-12-07 07:36:35.876066,4
203,5720,Card Issue,2024-12-30 05:57:11.060439,2024-12-31 05:57:11.060439,
204,60,Account Access,2025-12-13 11:38:32.227308,2025-12-26 11:38:32.227308,5
205,2022,Fraud Complaint,2024-11-10 14:50:58.476383,2024-11-21 14:50:58.476383,3
206,6479,UPI Failure,2024-09-25 22:01:53.132164,2024-09-26 22:01:53.132164,
207,9456,Loan Query,2025-01-02 19:08:02.558979,2025-01-15 19:08:02.558979,1
208,2652,UPI Failure,2025-08-02 19:16:44.682965,2025-08-02 19:16:44.682965,5
209,1147,Account Access,2025-05-15 11:37:05.569311,2025-05-26 11:37:05.569311,5
210,7046,Card Issue,2024-07-02 15:18:48.230695,2024-07-03 15:18:48.230695,
211,5434,Card Issue,2025-06-24 12:32:51.269048,2025-06-26 12:32:51.269048,4
212,3174,Account Access,2026-02-26 14:23:23.117259,2026-03-09 14:23:23.117259,1
213,4052,Loan Query,2024-08-15 00:17:17.442816,2024-08-17 00:17:17.442816,5
214,8906,UPI Failure,2025-02-23 20:10:26.330722,2025-02-28 20:10:26.330722,4
215,3147,Card Issue,2025-01-12 18:12:16.512567,2025-01-22 18:12:16.512567,2
216,622,Fraud Complaint,2024-12-12 18:07:28.237727,2024-12-19 18:07:28.237727,1
217,4158,Loan Query,2026-03-22 10:47:28.151368,2026-03-26 10:47:28.151368,3
218,3475,Loan Query,2025-03-28 16:44:01.908054,2025-04-10 16:44:01.908054,2
219,1427,Account Access,2024-08-30 23:13:22.990145,2024-09-13 23:13:22.990145,2
220,9016,Fraud Complaint,2025-05-16 18:04:41.537066,2025-05-16 18:04:41.537066,1
221,6387,Card Issue,2026-05-09 22:16:01.735238,2026-05-17 22:16:01.735238,4
222,260,Card Issue,2026-02-15 04:27:28.695629,2026-02-23 04:27:28.695629,3
223,9010,Loan Query,2026-02-02 10:11:49.220734,2026-02-03 10:11:49.220734,5
224,7170,Card Issue,2025-11-10 04:22:15.499548,2025-11-11 04:22:15.499548,3
225,3912,Card Issue,2025-05-02 04:34:42.551315,2025-05-16 04:34:42.551315,2
226,471,Card Issue,2025-02-15 22:29:06.868631,2025-02-24 22:29:06.868631,1
227,5230,UPI Failure,2025-12-25 23:01:18.415718,2025-12-26 23:01:18.415718,2
228,4184,UPI Failure,2025-01-26 10:00:14.659563,2025-02-05 10:00:14.659563,
229,4436,UPI Failure,2025-02-26 00:08:42.531564,2025-03-01 00:08:42.531564,2
230,6296,Account Access,2024-09-15 02:58:32.843381,2024-09-17 02:58:32.843381,2
231,7379,Loan Query,2024-12-25 13:47:34.334096,2024-12-27 13:47:34.334096,1
232,8006,UPI Failure,2025-09-24 00:22:44.766075,2025-10-05 00:22:44.766075,
233,3089,Card Issue,2026-03-21 13:24:59.840228,2026-03-27 13:24:59.840228,5
234,7057,UPI Failure,2024-10-23 10:57:37.650372,2024-10-29 10:57:37.650372,2
235,8335,Loan Query,2025-01-08 14:48:14.788727,2025-01-08 14:48:14.788727,5
236,5134,Fraud Complaint,2026-01-07 10:22:14.886440,2026-01-13 10:22:14.886440,3
237,6196,Fraud Complaint,2024-12-15 18:47:45.127848,2024-12-28 18:47:45.127848,5
238,6907,Loan Query,2026-02-10 13:07:35.845045,2026-02-12 13:07:35.845045,1
239,8781,UPI Failure,2025-09-03 16:24:50.064610,2025-09-15 16:24:50.064610,4
240,8641,Card Issue,2024-09-10 19:02:22.061544,2024-09-23 19:02:22.061544,
241,1732,Account Access,2025-05-25 11:40:39.109010,2025-06-03 11:40:39.109010,5
242,3833,Card Issue,2025-12-27 17:21:34.176291,2026-01-02 17:21:34.176291,3
243,2422,Fraud Complaint,2026-04-27 11:28:12.780554,2026-04-29 11:28:12.780554,4
244,5462,Loan Query,2025-09-10 06:41:57.783792,2025-09-12 06:41:57.783792,2
245,913,Account Access,2026-06-12 00:39:24.084282,2026-06-21 00:39:24.084282,3
246,2792,Loan Query,2024-08-22 03:34:38.803592,2024-08-31 03:34:38.803592,
247,7619,Loan Query,2026-03-15 16:09:34.656629,2026-03-28 16:09:34.656629,5
248,276,Card Issue,2026-05-17 22:57:58.202355,2026-05-29 22:57:58.202355,3
249,1284,Loan Query,2025-07-30 00:54:59.194990,2025-07-31 00:54:59.194990,3
250,8670,Fraud Complaint,2025-05-17 11:09:17.176578,2025-05-17 11:09:17.176578,5
251,8481,Account Access,2025-12-29 15:23:36.383395,2026-01-03 15:23:36.383395,4
252,2789,Card Issue,2025-12-13 03:27:54.258925,2025-12-16 03:27:54.258925,3
253,3280,Account Access,2026-05-10 01:34:56.557172,2026-05-10 01:34:56.557172,3
254,5284,Fraud Complaint,2024-10-03 08:46:36.012986,2024-10-03 08:46:36.012986,
255,260,Loan Query,2024-11-25 00:05:10.823687,2024-11-25 00:05:10.823687,2
256,2726,Fraud Complaint,2026-03-12 01:29:33.739481,2026-03-13 01:29:33.739481,5
257,9229,Card Issue,2025-08-13 19:13:18.519014,2025-08-26 19:13:18.519014,
258,2604,Fraud Complaint,2025-09-10 15:01:40.771382,2025-09-15 15:01:40.771382,3
259,2008,Account Access,2025-01-07 21:01:19.681178,2025-01-16 21:01:19.681178,2
260,6105,UPI Failure,2025-03-11 23:31:35.036200,2025-03-15 23:31:35.036200,2
261,5616,Loan Query,2025-11-20 15:53:51.315642,2025-11-20 15:53:51.315642,
262,2039,Account Access,2024-10-30 19:33:12.969401,2024-11-12 19:33:12.969401,2
263,230,UPI Failure,2025-08-01 14:27:25.165331,2025-08-03 14:27:25.165331,5
264,1758,Loan Query,2025-05-25 21:43:20.238150,2025-06-08 21:43:20.238150,3
265,2629,Account Access,2025-07-05 23:45:42.450149,2025-07-13 23:45:42.450149,4
266,6524,Account Access,2026-01-04 20:33:53.204622,2026-01-16 20:33:53.204622,5
267,9753,Loan Query,2024-08-25 17:59:54.739348,2024-09-08 17:59:54.739348,5
268,7405,Account Access,2025-11-18 22:14:18.869688,2025-11-29 22:14:18.869688,5
269,1056,Loan Query,2024-08-20 20:03:54.187592,2024-08-26 20:03:54.187592,5
270,7686,UPI Failure,2025-11-07 13:01:08.200689,2025-11-10 13:01:08.200689,2
271,2340,Loan Query,2025-03-04 06:18:56.471340,2025-03-12 06:18:56.471340,5
272,745,Fraud Complaint,2026-06-11 09:13:38.444344,2026-06-13 09:13:38.444344,5
273,307,Loan Query,2024-08-01 16:07:22.515785,2024-08-13 16:07:22.515785,4
274,8829,Fraud Complaint,2025-11-26 13:15:04.278802,2025-12-05 13:15:04.278802,1
275,6597,Account Access,2026-01-26 14:57:37.248022,2026-02-09 14:57:37.248022,
276,4985,Card Issue,2024-06-24 14:17:34.914640,2024-07-01 14:17:34.914640,3
277,3516,Card Issue,2025-07-20 08:48:53.968135,2025-08-03 08:48:53.968135,5
278,6885,Loan Query,2025-10-28 05:40:50.696881,2025-10-28 05:40:50.696881,2
279,2213,Account Access,2026-03-10 15:00:52.050144,2026-03-21 15:00:52.050144,3
280,8580,Card Issue,2024-12-13 22:36:45.119231,2024-12-25 22:36:45.119231,1
281,9305,UPI Failure,2025-04-28 21:52:28.771282,2025-05-01 21:52:28.771282,3
282,6216,Card Issue,2024-11-03 04:17:39.617911,2024-10-31 04:17:39.617911,5
283,320,Card Issue,2024-09-13 00:06:12.927431,2024-09-15 00:06:12.927431,1
284,5932,Card Issue,2026-05-28 04:50:01.629155,2026-05-29 04:50:01.629155,3
285,4016,UPI Failure,2025-08-22 17:33:53.307302,2025-08-22 17:33:53.307302,2
286,7801,Account Access,2024-10-02 02:29:17.781708,2024-10-08 02:29:17.781708,3
287,2315,UPI Failure,2025-04-18 01:28:49.750025,2025-04-28 01:28:49.750025,5
288,2099,Loan Query,2026-03-31 01:02:17.547240,2026-04-08 01:02:17.547240,1
289,1592,Loan Query,2024-12-04 01:34:18.644341,2024-12-13 01:34:18.644341,2
290,8282,Account Access,2025-01-19 02:05:30.343370,2025-01-21 02:05:30.343370,5
291,3752,Loan Query,2025-08-03 19:03:21.815469,2025-08-14 19:03:21.815469,
292,4012,Card Issue,2026-02-10 02:44:30.055185,2026-02-18 02:44:30.055185,3
293,1476,Fraud Complaint,2024-08-16 23:15:10.527169,2024-08-22 23:15:10.527169,4
294,564,Account Access,2025-10-17 01:51:13.904670,2025-10-25 01:51:13.904670,4
295,7131,Account Access,2026-02-12 12:08:28.976919,2026-02-21 12:08:28.976919,
296,117,UPI Failure,2025-03-05 00:36:05.599488,2025-03-07 00:36:05.599488,1
297,9168,UPI Failure,2024-07-20 15:31:54.259056,2024-08-02 15:31:54.259056,5
298,4688,Fraud Complaint,2025-06-05 14:49:26.247753,2025-06-11 14:49:26.247753,1
299,1233,UPI Failure,2025-11-10 10:39:46.157927,2025-11-19 10:39:46.157927,3
300,9806,Card Issue,2026-05-12 18:00:55.257433,2026-05-23 18:00:55.257433,1
301,3177,UPI Failure,2026-01-24 02:39:07.017977,2026-02-07 02:39:07.017977,1
302,1224,Card Issue,2026-02-19 19:18:56.531499,2026-02-28 19:18:56.531499,4
303,7263,UPI Failure,2025-11-28 04:30:42.408982,2025-12-10 04:30:42.408982,
304,6362,Loan Query,2024-11-05 12:16:55.395357,2024-11-16 12:16:55.395357,1
305,1559,UPI Failure,2025-01-28 09:57:09.644351,2025-02-08 09:57:09.644351,1
306,3455,UPI Failure,2024-06-22 10:50:13.007401,2024-06-29 10:50:13.007401,
307,5928,Loan Query,2026-05-15 13:53:02.976052,2026-05-16 13:53:02.976052,4
